x,Vx,Vy,Speed
0.0,-2.3929656132683045e-10,-8.597773335078674e-14,2.392965767724565e-10
0.019999999999999997,-1.1964828066341522e-10,-4.298886667539337e-14,1.1964828838622825e-10
0.04,-7.976552044227681e-11,-2.8659244450262246e-14,7.976552559081883e-11
0.060000000000000005,-5.982414033170761e-11,-2.1494433337696686e-14,5.982414419311412e-11
0.08000000000000002,-4.785931226536609e-11,-1.719554667015735e-14,4.785931535449129e-11
0.1,-3.9882760221138406e-11,-1.4329622225131123e-14,3.9882762795409413e-11
0.12000000000000002,-3.418522304669006e-11,-1.2282533335826677e-14,3.4185225253208067e-11
0.14,-2.9912070165853806e-11,-1.0747216668848343e-14,2.991207209655706e-11
0.16,-2.6588506814092272e-11,-9.553081483420749e-15,2.6588508530272943e-11
0.18000000000000002,-2.3929656132683044e-11,-8.597773335078675e-15,2.3929657677245645e-11
0.2,0.0,0.0,0.0
0.22000000000000003,0.0,0.0,0.0
0.24000000000000005,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.42000000000000004,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.44,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.46,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.52,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.54,0.0,0.0,0.0
0.5599999999999999,0.0,0.0,0.0
0.5599999999999999,0.0,0.0,0.0
0.5599999999999999,0.0,0.0,0.0
0.5599999999999999,0.0,0.0,0.0
0.58,0.0,0.0,0.0
0.58,0.0,0.0,0.0
0.58,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.62,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.64,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.6799999999999999,0.0,0.0,0.0
0.6799999999999999,0.0,0.0,0.0
0.6799999999999999,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.98,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.04,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.06,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.099999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.119999999,0.0,0.0,0.0
1.139999999,0.007773510868145349,-1.7670800869073824e-13,0.007773510868145349
1.139999999,0.007773510868145349,-1.7670800869073824e-13,0.007773510868145349
1.139999999,0.007773510868145349,-1.7670800869073824e-13,0.007773510868145349
1.139999999,0.007773510868145349,-1.7670800869073824e-13,0.007773510868145349
1.159999999,0.01549826249239003,-2.0217544995450083e-13,0.01549826249239003
1.159999999,0.01549826249239003,-2.0217544995450083e-13,0.01549826249239003
1.159999999,0.01549826249239003,-2.0217544995450083e-13,0.01549826249239003
1.18,0.023223014351085224,-2.2763575893408744e-13,0.023223014351085224
1.18,0.023223014351085224,-2.2763575893408744e-13,0.023223014351085224
1.18,0.023223014351085224,-2.2763575893408744e-13,0.023223014351085224
1.18,0.023223014351085224,-2.2763575893408744e-13,0.023223014351085224
1.2,0.04958453866726198,-8.823538887696837e-13,0.04958453866726198
1.2,0.04958453866726198,-8.823538887696837e-13,0.04958453866726198
1.2,0.04958453866726198,-8.823538887696837e-13,0.04958453866726198
1.22,0.09446563224441257,-2.0939876133404602e-12,0.09446563224441257
1.22,0.09446563224441257,-2.0939876133404602e-12,0.09446563224441257
1.22,0.09446563224441257,-2.0939876133404602e-12,0.09446563224441257
1.24,0.15786547427038317,-4.144941365576009e-12,0.15786547427038317
1.24,0.15786547427038317,-4.144941365576009e-12,0.15786547427038317
1.24,0.15786547427038317,-4.144941365576009e-12,0.15786547427038317
1.24,0.15786547427038317,-4.144941365576009e-12,0.15786547427038317
1.26,0.23978281723675746,-7.302912994244222e-12,0.23978281723675746
1.26,0.23978281723675746,-7.302912994244222e-12,0.23978281723675746
1.26,0.23978281723675746,-7.302912994244222e-12,0.23978281723675746
1.28,0.3402159870272336,-1.1806442067142393e-11,0.3402159870272336
1.28,0.3402159870272336,-1.1806442067142393e-11,0.3402159870272336
1.28,0.3402159870272336,-1.1806442067142393e-11,0.3402159870272336
1.3,0.45916288305332154,-1.7843189119379054e-11,0.45916288305332154
1.3,0.45916288305332154,-1.7843189119379054e-11,0.45916288305332154
1.3,0.45916288305332154,-1.7843189119379054e-11,0.45916288305332154
1.3,0.45916288305332154,-1.7843189119379054e-11,0.45916288305332154
1.319999999,0.5966209784444432,-2.5519837429106223e-11,0.5966209784444432
1.319999999,0.5966209784444432,-2.5519837429106223e-11,0.5966209784444432
1.319999999,0.5966209784444432,-2.5519837429106223e-11,0.5966209784444432
1.339999999,0.7448138094321728,-3.464692398462639e-11,0.7448138094321728
1.339999999,0.7448138094321728,-3.464692398462639e-11,0.7448138094321728
1.339999999,0.7448138094321728,-3.464692398462639e-11,0.7448138094321728
1.339999999,0.7448138094321728,-3.464692398462639e-11,0.7448138094321728
1.359999999,0.9115602675186498,-4.537498904973553e-11,0.9115602675186498
1.359999999,0.9115602675186498,-4.537498904973553e-11,0.9115602675186498
1.359999999,0.9115602675186498,-4.537498904973553e-11,0.9115602675186498
1.379999999,1.0968077847265518,-4.311086644479479e-11,1.0968077847265518
1.379999999,1.0968077847265518,-4.311086644479479e-11,1.0968077847265518
1.379999999,1.0968077847265518,-4.311086644479479e-11,1.0968077847265518
