x,IMU Yaw
5.500000000000001,0.0
5.5200000000000005,0.0
5.5200000000000005,0.0
5.539999999,0.0
5.5600000000000005,0.0
5.579999999000001,0.0
5.579999999000001,0.0
5.6000000000000005,0.0
5.619999999,0.0
5.640000000000001,0.0
5.640000000000001,0.0
5.659999999,0.0
5.680000000000001,0.0
5.699999999,0.0
5.720000000000001,0.0
5.720000000000001,0.0
5.739999999,0.0
5.760000000000001,0.0
5.779999999,0.0
5.779999999,0.0
5.800000000000001,0.0
5.819999999,0.0
5.840000000000001,0.0
5.840000000000001,0.0
5.859999999,0.0
5.880000000000001,0.0
5.9,0.0
5.920000000000001,0.0
5.920000000000001,0.0
5.94,0.0
5.959999999000001,0.0
5.98,0.0
5.98,0.0
5.999999999000001,0.0
6.0200000000000005,0.0
6.039999999,0.0
6.039999999,0.0
6.0600000000000005,0.0
6.079999999,0.0
6.1000000000000005,0.0
6.119999999,0.0
6.119999999,0.0
6.140000000000001,0.0
6.159999999,0.0
6.180000000000001,0.0
6.180000000000001,0.0
6.199999999,0.0
6.220000000000001,0.0
6.239999999,0.0
6.260000000000001,0.0
6.260000000000001,0.0
6.279999999,0.0
6.300000000000001,0.0
6.319999999,0.0
6.319999999,0.0
6.340000000000001,0.0
6.359999999,0.0
6.380000000000001,0.0
6.380000000000001,0.0
6.399999999,0.0
6.420000000000001,0.0
6.44,0.0
6.459999999000001,0.0
6.459999999000001,0.0
6.48,0.0
6.500000000000001,0.0
6.5200000000000005,0.0
6.5200000000000005,0.0
6.539999999,0.0
6.5600000000000005,0.0
6.579999999000001,0.0
6.6000000000000005,0.0
6.6000000000000005,0.0
6.619999999,0.0
6.640000000000001,0.0
6.659999999,0.0
6.659999999,0.0
6.680000000000001,0.0
6.699999999,0.0
6.720000000000001,0.0
6.720000000000001,0.0
6.739999999,0.0
6.760000000000001,0.0
6.779999999,0.0
6.779999999,0.0
6.800000000000001,0.0
6.819999999,0.0
6.840000000000001,0.0
6.859999999,0.0
6.859999999,0.0
6.880000000000001,0.0
6.9,0.0
6.920000000000001,0.0
6.920000000000001,0.0
6.94,0.0
6.959999999000001,0.0
6.98,0.0
