x,Pitot
0.0,-4.978364944458008
0.019999999999999997,1.0017328262329102
0.04,1.0017328262329102
0.060000000000000005,0.933600902557373
0.08000000000000002,0.933600902557373
0.1,2.2715251445770264
0.12000000000000002,2.2715251445770264
0.14,-1.5434197187423706
0.16,1.6356017589569092
0.18000000000000002,1.6356017589569092
0.2,7.307057857513428
0.22000000000000003,7.307057857513428
0.24000000000000005,1.979812741279602
0.26,1.979812741279602
0.28,-1.4036284685134888
0.30000000000000004,3.5827341079711914
0.30000000000000004,1.5167651176452637
0.30000000000000004,1.5167651176452637
0.30000000000000004,-0.4744766354560852
0.30000000000000004,1.4449974298477173
0.30000000000000004,1.4449974298477173
0.30000000000000004,2.9685614109039307
0.32,0.8609384298324585
0.32,0.8609384298324585
0.32,-0.9236541390419006
0.32,-1.2810636758804321
0.34,-1.2810636758804321
0.34,0.8414055705070496
0.34,0.8414055705070496
0.34,1.2868281602859497
0.36000000000000004,0.41225844621658325
0.36000000000000004,0.41225844621658325
0.36000000000000004,3.951819896697998
0.38,3.951819896697998
0.38,-1.3960222005844116
0.38,-1.3960222005844116
0.38,1.7991814613342285
0.4,1.7991814613342285
0.4,-0.575112521648407
0.4,-0.575112521648407
0.4,4.775243282318115
0.42000000000000004,2.797488212585449
0.42000000000000004,2.797488212585449
0.42000000000000004,2.58848237991333
0.44,2.58848237991333
0.44,0.10180628299713135
0.44,0.7656198740005493
0.44,0.7656198740005493
0.44,1.3675684928894043
0.46,1.3675684928894043
0.46,-1.6729049682617188
0.46,-1.6729049682617188
0.48000000000000004,1.2341829538345337
0.48000000000000004,2.1893932819366455
0.48000000000000004,1.9643676280975342
0.48000000000000004,1.9643676280975342
0.5,-2.65667986869812
0.5,0.687538206577301
0.5,-0.699458658695221
0.5,-0.699458658695221
0.52,1.170597791671753
0.52,1.170597791671753
0.52,-0.27310487627983093
0.54,-0.27310487627983093
0.54,-1.1494946479797363
0.54,0.951271653175354
0.54,0.951271653175354
0.5599999999999999,-1.71370267868042
0.5599999999999999,4.429123401641846
0.5599999999999999,4.429123401641846
0.5599999999999999,0.6056092977523804
0.58,0.6056092977523804
0.58,-0.10597781836986542
0.58,1.2548810243606567
0.6,1.075165867805481
0.6,1.075165867805481
0.6,-4.785134792327881
0.6,4.534426212310791
0.62,2.2826645374298096
0.62,2.2826645374298096
0.62,-1.7672146558761597
0.62,-2.299757242202759
0.64,-4.631923675537109
0.64,-0.4137496054172516
0.64,-0.4137496054172516
0.64,-2.211808681488037
0.66,-2.211808681488037
0.66,-2.6048548221588135
0.66,-2.6048548221588135
0.6799999999999999,-0.717095136642456
0.6799999999999999,-0.717095136642456
0.6799999999999999,0.4359627962112427
0.6799999999999999,0.4359627962112427
0.7,-0.13704770803451538
0.7,-0.13704770803451538
0.7,-1.1146692037582397
0.7,5.558594703674316
0.72,-3.031548261642456
0.72,-3.031548261642456
0.72,2.591449022293091
0.72,2.591449022293091
0.74,-0.24853892624378204
0.74,2.4129648208618164
0.74,2.4129648208618164
0.76,-2.682520627975464
0.76,3.493786573410034
0.76,3.493786573410034
0.76,1.2958711385726929
0.78,1.2958711385726929
0.78,1.7338833808898926
0.78,1.1768227815628052
0.78,-0.5331549048423767
0.8,-0.5331549048423767
0.8,-1.8418238162994385
0.8,-1.8418238162994385
0.82,-1.5776115655899048
0.82,-1.5776115655899048
0.82,-1.806637167930603
0.82,1.8698740005493164
0.84,1.8698740005493164
0.84,2.0554075241088867
0.84,-1.1229839324951172
0.84,-3.0399563312530518
0.86,-3.0399563312530518
0.86,-0.8631276488304138
0.86,-0.10770749300718307
0.88,-0.10770749300718307
0.88,1.3421409130096436
0.88,0.7213489413261414
0.88,0.7213489413261414
0.9,0.7652552723884583
0.9,0.7652552723884583
0.9,-2.484980821609497
0.9,-2.484980821609497
0.92,-0.46663898229599
0.92,-0.8276635408401489
0.92,-0.8276635408401489
0.94,-0.06962376087903976
0.94,-0.06962376087903976
0.94,0.6430040597915649
0.94,-1.1019530296325684
0.94,-1.1019530296325684
0.96,1.2770205736160278
0.96,2.7907896041870117
0.96,2.7907896041870117
0.96,1.391072392463684
0.96,1.391072392463684
0.98,-3.146721124649048
0.98,-3.146721124649048
0.98,-0.26929646730422974
1.0,-0.26929646730422974
1.0,-1.1970540285110474
1.0,-1.1970540285110474
1.0,2.2578160762786865
1.02,2.2578160762786865
1.02,3.670095443725586
1.02,3.670095443725586
1.02,0.313962459564209
1.04,0.313962459564209
1.04,-4.549966812133789
1.04,0.6363689303398132
1.04,0.6363689303398132
1.06,2.758528470993042
1.06,-1.0309628248214722
1.06,-1.0309628248214722
1.06,0.2589774429798126
1.08,0.2589774429798126
