x,Yaw
24.459999999,3.6311073807867877e-06
24.459999999,3.6311073807867877e-06
24.459999999,3.6311073807867877e-06
24.459999999,3.6311073807867877e-06
24.479999999,3.6311073807867877e-06
24.479999999,3.6311073807867877e-06
24.479999999,3.6311073807867877e-06
24.479999999,3.6311073807867877e-06
24.499999999,3.6311073807867877e-06
24.499999999,3.6311073807867877e-06
24.499999999,3.6311073807867877e-06
24.519999999000003,3.6311073807867877e-06
24.519999999000003,3.6311073807867877e-06
24.519999999000003,3.6311073807867877e-06
24.519999999000003,3.6311073807867877e-06
24.540000000000003,3.6311073807867877e-06
24.540000000000003,3.6311073807867877e-06
24.540000000000003,3.6311073807867877e-06
24.560000000000002,3.6311073807867877e-06
24.560000000000002,3.6311073807867877e-06
24.560000000000002,3.6311073807867877e-06
24.560000000000002,3.6311073807867877e-06
24.580000000000002,3.6311073807867877e-06
24.580000000000002,3.6311073807867877e-06
24.580000000000002,3.6311073807867877e-06
24.580000000000002,3.6311073807867877e-06
24.6,3.6311073807867877e-06
24.6,3.6311073807867877e-06
24.6,3.6311073807867877e-06
24.619999999,3.6311073807867877e-06
24.619999999,3.6311073807867877e-06
24.619999999,3.6311073807867877e-06
24.639999999,3.6311073807867877e-06
24.639999999,3.6311073807867877e-06
24.639999999,3.6311073807867877e-06
24.659999999,2.8220878587168456e-05
24.659999999,2.8220878587168456e-05
24.659999999,2.8220878587168456e-05
24.679999999,5.7473468876819525e-06
24.679999999,5.7473468876819525e-06
24.679999999,5.7473468876819525e-06
24.679999999,5.7473468876819525e-06
24.700000000000003,5.7473468876819525e-06
24.700000000000003,5.7473468876819525e-06
24.700000000000003,5.7473468876819525e-06
24.720000000000002,5.7473468876819525e-06
24.720000000000002,5.7473468876819525e-06
24.720000000000002,5.7473468876819525e-06
24.740000000000002,5.7473468876819525e-06
24.740000000000002,5.7473468876819525e-06
24.740000000000002,5.7473468876819525e-06
24.740000000000002,5.7473468876819525e-06
24.76,5.7473468876819525e-06
24.76,5.7473468876819525e-06
24.76,5.7473468876819525e-06
24.76,5.7473468876819525e-06
24.779999999,5.7473468876819525e-06
24.779999999,5.7473468876819525e-06
24.779999999,5.7473468876819525e-06
24.779999999,5.7473468876819525e-06
24.799999999,5.7473468876819525e-06
24.799999999,5.7473468876819525e-06
24.799999999,5.7473468876819525e-06
24.799999999,5.7473468876819525e-06
24.819999999,5.7473468876819525e-06
24.819999999,5.7473468876819525e-06
24.819999999,5.7473468876819525e-06
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.839999999,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.860000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.880000000000003,2.0537321294697882e-05
24.900000000000002,1.5495636324913232e-05
24.900000000000002,1.5495636324913232e-05
24.900000000000002,1.5495636324913232e-05
24.900000000000002,1.5495636324913232e-05
24.900000000000002,1.5495636324913232e-05
24.900000000000002,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.92,1.5495636324913232e-05
24.94,4.1857146318007416e-06
24.94,4.1857146318007416e-06
24.94,4.1857146318007416e-06
24.94,4.1857146318007416e-06
24.94,4.1857146318007416e-06
24.94,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.959999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.979999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
24.999999999,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.019999999000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.040000000000003,4.1857146318007416e-06
25.060000000000002,4.1857146318007416e-06
25.060000000000002,4.1857146318007416e-06
