x,FL,FR,RL,RR
0.42000000000000004,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0
0.48000000000000004,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.96,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0
1.0,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.0,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.0,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.0,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.02,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.02,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.02,3.1360442638397217,3.1360442638397217,3.136042833328247,3.136042833328247
1.04,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.04,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.04,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.04,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.06,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.06,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.06,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.06,15.625072479248047,15.625072479248047,15.625067710876465,15.625067710876465
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.08,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.119999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.119999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.119999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.119999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.139999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.139999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.139999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.159999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.159999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.159999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.159999999,22.599863052368164,22.599863052368164,22.5998592376709,22.5998592376709
1.18,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.18,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.18,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.2,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.2,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.2,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.2,52.04058837890625,52.04058837890625,52.040584564208984,52.040584564208984
1.22,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.22,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.22,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.24,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.24,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.24,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.24,61.368587493896484,61.368587493896484,61.368587493896484,61.368587493896484
1.26,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.26,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.26,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.28,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.28,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.28,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.28,72.01791381835938,72.01791381835938,72.01793670654297,72.01793670654297
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.3,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.339999999,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.339999999,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.339999999,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.339999999,82.59458923339844,82.59458923339844,82.59458923339844,82.59458923339844
1.359999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.359999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.359999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.379999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.379999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.379999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.379999999,95.62406921386719,95.62406158447266,95.18324279785156,95.18324279785156
1.399999999,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.399999999,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.399999999,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.42,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.42,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.42,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.42,111.03968048095703,111.0396728515625,110.24566650390625,110.24566650390625
1.44,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.44,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.44,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.46,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.46,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.46,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.46,117.06998443603516,116.6545639038086,118.10958862304688,118.10958862304688
1.48,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.48,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.48,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.5,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.5,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.5,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.5,128.5041046142578,128.91954040527344,128.919677734375,128.919677734375
1.52,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.52,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.52,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.54,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.54,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.54,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.54,136.9975128173828,136.9975128173828,136.99757385253906,136.99757385253906
1.56,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.56,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.56,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.58,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.58,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.58,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.58,147.916748046875,147.916748046875,147.916748046875,147.916748046875
1.6,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.6,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.6,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.6,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.62,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.62,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.62,156.52642822265625,156.52642822265625,155.4273681640625,155.4273681640625
1.6400000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6400000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6400000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6400000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.6600000000000001,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.7,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.7,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.7,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.7,167.1008758544922,167.1008758544922,165.72389221191406,165.72389221191406
1.72,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.72,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.72,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.74,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.74,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.74,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.74,171.04071044921875,171.0406951904297,173.5166473388672,173.51666259765625
1.76,184.16610717773438,184.16610717773438,184.16616821289062,184.16616821289062
1.76,184.16610717773438,184.16610717773438,184.16616821289062,184.16616821289062
1.76,184.16610717773438,184.16610717773438,184.16616821289062,184.16616821289062
1.78,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.78,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.78,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.78,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.8,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.8,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.8,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.8,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
1.8,194.7761688232422,194.7761688232422,193.3330535888672,193.3330535888672
