x,Front Right,Rear Left
0.0,22.87713623046875,23.5218563079834
0.019999999999999997,24.72418975830078,25.815509796142578
0.04,25.64397430419922,24.018352508544922
0.060000000000000005,25.64397430419922,24.018352508544922
0.08000000000000002,25.689016342163086,23.27656364440918
0.1,25.689016342163086,23.27656364440918
0.12000000000000002,25.504043579101562,26.403181076049805
0.14,25.504043579101562,26.403181076049805
0.16,24.6633358001709,24.119617462158203
0.18000000000000002,24.6633358001709,24.119617462158203
0.2,25.314056396484375,24.774139404296875
0.22000000000000003,24.981298446655273,26.44382095336914
0.24000000000000005,24.590211868286133,23.99266242980957
0.26,25.70945930480957,24.81615447998047
0.28,25.829824447631836,26.20414924621582
0.30000000000000004,25.829824447631836,26.20414924621582
0.30000000000000004,23.0930118560791,23.783771514892578
0.30000000000000004,23.0930118560791,23.783771514892578
0.30000000000000004,24.016948699951172,24.662174224853516
0.30000000000000004,25.831554412841797,26.15335464477539
0.30000000000000004,25.831554412841797,26.15335464477539
0.30000000000000004,23.312698364257812,27.06085968017578
0.32,22.663936614990234,23.628019332885742
0.32,22.663936614990234,23.628019332885742
0.32,25.12373161315918,24.520004272460938
0.32,23.532976150512695,26.586719512939453
0.34,24.835918426513672,24.196165084838867
0.34,24.82550048828125,26.069150924682617
0.34,24.82550048828125,26.069150924682617
0.36000000000000004,24.51366424560547,25.14712142944336
0.36000000000000004,24.51366424560547,25.14712142944336
0.36000000000000004,25.200557708740234,25.25885009765625
0.36000000000000004,25.200557708740234,25.25885009765625
0.38,26.798601150512695,25.6492977142334
0.38,22.717222213745117,25.14389991760254
0.38,22.717222213745117,25.14389991760254
0.4,23.06610107421875,25.758113861083984
0.4,23.06610107421875,25.758113861083984
0.4,25.392375946044922,24.326494216918945
0.4,25.68471336364746,25.19918441772461
0.42000000000000004,24.666912078857422,23.747249603271484
0.42000000000000004,24.666912078857422,23.747249603271484
0.42000000000000004,23.505767822265625,24.78988265991211
0.44,23.505767822265625,24.78988265991211
0.44,24.772764205932617,25.78168487548828
0.44,26.787246704101562,24.150346755981445
0.44,26.787246704101562,24.150346755981445
0.46,24.470504760742188,25.0649356842041
0.46,24.470504760742188,25.0649356842041
0.46,23.763458251953125,26.070938110351562
0.48000000000000004,23.763458251953125,26.070938110351562
0.48000000000000004,24.752887725830078,23.698219299316406
0.48000000000000004,25.797990798950195,25.091089248657227
0.48000000000000004,25.797990798950195,25.091089248657227
0.5,24.75166893005371,26.885929107666016
0.5,24.75166893005371,26.885929107666016
0.5,24.504152297973633,23.99591064453125
0.52,24.86904525756836,26.40782356262207
0.52,24.86904525756836,26.40782356262207
0.52,24.240447998046875,26.559417724609375
0.52,24.240447998046875,26.559417724609375
0.54,26.107219696044922,23.665550231933594
0.54,26.107219696044922,23.665550231933594
0.54,26.576425552368164,24.506074905395508
0.5599999999999999,26.04447364807129,25.292707443237305
0.5599999999999999,26.485368728637695,24.755512237548828
0.5599999999999999,26.485368728637695,24.755512237548828
0.5599999999999999,25.39891815185547,25.20492172241211
0.58,24.081865310668945,27.111804962158203
0.58,24.081865310668945,27.111804962158203
0.58,24.86488151550293,26.120298385620117
0.6,25.316598892211914,24.795833587646484
0.6,25.316598892211914,24.795833587646484
0.6,23.402925491333008,25.060909271240234
0.6,25.605653762817383,23.88528060913086
0.62,25.605653762817383,23.88528060913086
0.62,23.454710006713867,25.533340454101562
0.62,23.454710006713867,25.533340454101562
0.64,24.736379623413086,26.790830612182617
0.64,23.862070083618164,24.94867706298828
0.64,23.862070083618164,24.94867706298828
0.64,26.131372451782227,25.217519760131836
0.66,26.131372451782227,25.217519760131836
0.66,26.5347957611084,25.447254180908203
0.66,25.663068771362305,24.964942932128906
0.66,25.994951248168945,24.846078872680664
0.6799999999999999,25.646621704101562,25.51047706604004
0.6799999999999999,25.646621704101562,25.51047706604004
0.6799999999999999,24.538658142089844,26.28607749938965
0.7,24.538658142089844,26.28607749938965
0.7,25.1621150970459,25.388687133789062
0.7,25.1621150970459,25.388687133789062
0.7,25.83690071105957,26.054121017456055
0.72,23.48381233215332,24.155677795410156
0.72,23.48381233215332,24.155677795410156
0.72,23.980573654174805,25.146543502807617
0.74,23.980573654174805,25.146543502807617
0.74,26.09308624267578,24.652854919433594
0.74,26.09308624267578,24.652854919433594
0.74,24.128114700317383,25.770965576171875
0.76,23.323030471801758,25.281436920166016
0.76,23.323030471801758,25.281436920166016
0.76,25.75628089904785,24.3983154296875
0.78,24.50261688232422,25.064760208129883
0.78,24.62188720703125,23.465763092041016
0.78,25.819347381591797,24.84591293334961
0.78,25.819347381591797,24.84591293334961
0.8,25.878890991210938,24.595436096191406
0.8,25.878890991210938,24.595436096191406
0.8,24.662811279296875,24.493560791015625
0.82,24.662811279296875,24.493560791015625
0.82,23.787139892578125,26.226253509521484
0.82,25.004335403442383,25.203153610229492
0.82,25.004335403442383,25.203153610229492
0.84,25.607341766357422,25.876598358154297
0.84,26.7211856842041,24.98611831665039
0.84,26.7211856842041,24.98611831665039
0.84,25.107969284057617,23.893003463745117
0.86,25.89225196838379,24.754758834838867
0.86,25.89225196838379,24.754758834838867
0.86,23.84518051147461,25.46013832092285
0.88,23.84518051147461,25.46013832092285
0.88,25.448484420776367,24.68377685546875
0.88,24.87726593017578,24.792301177978516
0.88,24.87726593017578,24.792301177978516
0.9,24.44305419921875,24.530168533325195
0.9,25.278751373291016,25.135986328125
0.9,25.278751373291016,25.135986328125
0.92,25.941753387451172,26.69355583190918
0.92,26.294958114624023,25.829809188842773
0.92,26.294958114624023,25.829809188842773
0.92,25.25411605834961,25.681203842163086
0.94,25.25411605834961,25.681203842163086
0.94,24.59011459350586,24.39464569091797
0.94,24.16402816772461,26.51850700378418
0.96,24.16402816772461,26.51850700378418
0.96,25.812484741210938,24.750659942626953
0.96,25.812484741210938,24.750659942626953
0.96,25.76195526123047,24.70895767211914
0.98,24.930095672607422,24.412641525268555
0.98,24.930095672607422,24.412641525268555
0.98,26.072473526000977,25.307588577270508
0.98,25.396825790405273,25.238693237304688
1.0,25.396825790405273,25.238693237304688
1.0,25.136005401611328,25.50051498413086
1.0,25.136005401611328,25.50051498413086
1.02,25.26003646850586,25.612228393554688
1.02,25.26003646850586,25.612228393554688
1.02,26.719112396240234,26.14962387084961
1.02,24.787189483642578,25.747203826904297
1.04,26.006805419921875,26.380311965942383
1.04,23.279178619384766,24.33938217163086
1.04,23.279178619384766,24.33938217163086
1.04,24.791486740112305,25.028810501098633
1.06,24.271244049072266,23.521526336669922
1.06,24.271244049072266,23.521526336669922
1.06,26.159168243408203,24.556621551513672
1.08,26.159168243408203,24.556621551513672
1.08,23.6544132232666,24.97286033630371
1.08,25.501779556274414,25.033370971679688
1.08,25.501779556274414,25.033370971679688
1.099999999,24.397743225097656,24.436431884765625
1.099999999,25.118982315063477,25.52849769592285
1.099999999,25.118982315063477,25.52849769592285
1.119999999,25.516071319580078,25.17547035217285
1.119999999,25.516071319580078,25.17547035217285
1.119999999,26.035661697387695,24.095355987548828
1.119999999,26.035661697387695,24.095355987548828
1.139999999,24.561525344848633,27.011831283569336
1.139999999,23.72736358642578,26.186546325683594
1.139999999,23.72736358642578,26.186546325683594
1.139999999,24.701045989990234,24.43128204345703
1.159999999,24.701045989990234,24.43128204345703
1.159999999,25.190011978149414,24.035097122192383
1.159999999,25.190011978149414,24.035097122192383
1.18,24.191688537597656,25.064109802246094
1.18,24.191688537597656,25.064109802246094
1.18,24.74753761291504,25.231382369995117
1.18,24.74753761291504,25.231382369995117
1.2,25.430797576904297,23.621627807617188
1.2,26.0661563873291,25.895244598388672
1.2,26.0661563873291,25.895244598388672
1.2,25.094472885131836,25.393434524536133
1.22,25.094472885131836,25.393434524536133
1.22,25.061338424682617,24.99049949645996
1.22,25.061338424682617,24.99049949645996
1.24,24.647748947143555,24.81753921508789
1.24,24.343008041381836,26.211872100830078
1.24,24.343008041381836,26.211872100830078
1.24,25.405685424804688,23.94878578186035
1.26,25.405685424804688,23.94878578186035
1.26,25.433319091796875,23.415678024291992
1.26,25.433319091796875,23.415678024291992
1.28,27.61988067626953,24.8386173248291
1.28,25.795928955078125,24.868711471557617
1.28,25.795928955078125,24.868711471557617
1.28,25.672195434570312,23.31720733642578
1.3,24.115018844604492,23.360511779785156
1.3,25.856876373291016,24.083354949951172
1.3,23.909231185913086,25.061973571777344
1.3,23.909231185913086,25.061973571777344
1.319999999,25.343290328979492,24.397245407104492
1.319999999,25.734039306640625,25.516401290893555
1.319999999,25.734039306640625,25.516401290893555
1.339999999,23.750518798828125,26.6737003326416
1.339999999,23.750518798828125,26.6737003326416
1.339999999,25.8758602142334,25.663835525512695
1.339999999,26.034528732299805,24.70132827758789
1.359999999,26.034528732299805,24.70132827758789
1.359999999,25.254615783691406,25.60284996032715
