x,Y
4.5913517091388005,-1.590129420611423e-13
4.5913517091388005,-1.590129420611423e-13
4.651801745046497,-4.0878138756067965e-18
4.651801745046497,-4.0878138756067965e-18
4.714273201289799,4.4500672709640514e-10
4.714273201289799,4.4500672709640514e-10
4.77673137155778,1.1969255645028821e-09
4.77673137155778,1.1969255645028821e-09
4.839198761084121,8.519671000221983e-10
4.839198761084121,8.519671000221983e-10
4.901685354485206,2.4416450859960674e-10
4.901685354485206,2.4416450859960674e-10
4.901685354485206,2.4416450859960674e-10
4.964171843647994,6.550519599372259e-13
4.964171843647994,6.550519599372259e-13
5.026644550275824,6.367711697084218e-13
5.026644550275824,6.367711697084218e-13
5.089117256507756,5.820988392684705e-13
5.089117256507756,5.820988392684705e-13
5.153971639285719,5.255102416940986e-13
5.153971639285719,5.255102416940986e-13
5.218818300101988,4.45132437683514e-13
5.251241630388879,4.074131611319255e-13
5.251241630388879,4.074131611319255e-13
5.251241630388879,4.074131611319255e-13
5.316088290084693,1.3237846461995063e-16
5.316088290084693,1.3237846461995063e-16
5.380934950962566,-4.36788288770543e-19
5.380934950962566,-4.36788288770543e-19
5.445773477891954,-4.6112808659755707e-10
5.445773477891954,-4.6112808659755707e-10
5.510604852694258,-1.2298712592448154e-09
5.510604852694258,-1.2298712592448154e-09
5.577765475943064,-1.0021862034459472e-09
5.577765475943064,-1.0021862034459472e-09
5.644950196231264,-1.9128956347961093e-10
5.644950196231264,-1.9128956347961093e-10
5.71212572682791,-7.019100188790869e-13
5.71212572682791,-7.019100188790869e-13
5.779289031426942,-6.598967697711552e-13
5.779289031426942,-6.598967697711552e-13
5.779289031426942,-6.598967697711552e-13
5.846452335474393,-5.83235389117888e-13
5.846452335474393,-5.83235389117888e-13
5.913615638965899,-4.959926034610966e-13
5.913615638965899,-4.959926034610966e-13
5.980778942051866,-4.1376629046782497e-13
5.980778942051866,-4.1376629046782497e-13
6.050208355893624,1.6962406516006762e-18
6.084919381950766,1.4556649973453051e-18
6.084919381950766,1.4556649973453051e-18
6.154332750212281,4.948222872250237e-10
6.154332750212281,4.948222872250237e-10
6.223738576281138,1.3295141006739245e-09
6.223738576281138,1.3295141006739245e-09
6.293145361171242,1.7094263075575264e-09
6.293145361171242,1.7094263075575264e-09
6.293145361171242,1.7094263075575264e-09
6.362588809393999,3.030092506040808e-10
6.362588809393999,3.030092506040808e-10
