x,Yaw
37.46,9.834166546574257e-08
37.46,9.834166546574257e-08
37.46,1.2763826068547048e-07
37.46,1.2763826068547048e-07
37.5,1.419224264807612e-07
37.5,1.419224264807612e-07
37.5,2.6840915429712604e-07
37.5,2.6840915429712604e-07
37.54,2.420985109657025e-07
37.54,2.420985109657025e-07
37.54,2.420985109657025e-07
37.54,1.5268491814808408e-07
37.54,1.5268491814808408e-07
37.58,2.700541372196824e-07
37.58,2.700541372196824e-07
37.58,3.084417075841987e-07
37.58,3.084417075841987e-07
37.619999999,2.830839429025207e-07
37.619999999,2.830839429025207e-07
37.64,3.9579372643986674e-07
37.64,3.9579372643986674e-07
37.64,3.808830508688002e-07
37.64,3.808830508688002e-07
37.64,3.808830508688002e-07
37.68,3.353713465758627e-07
37.68,3.353713465758627e-07
37.68,1.1475229463874151e-07
37.68,1.1475229463874151e-07
37.72,1.0795498532480761e-07
37.72,1.0795498532480761e-07
37.72,1.1029666936946549e-07
37.72,1.1029666936946549e-07
37.72,1.1029666936946549e-07
37.76,2.4934083313863567e-07
37.76,2.4934083313863567e-07
37.78,2.3627851646643827e-07
37.78,2.3627851646643827e-07
37.78,1.7335911135391534e-07
37.78,1.7335911135391534e-07
37.82,2.4430722330827296e-07
37.82,2.4430722330827296e-07
37.82,2.6314058794798516e-07
37.82,2.6314058794798516e-07
37.86,2.1174156435728583e-07
37.86,2.1174156435728583e-07
37.86,1.0639761927068356e-07
37.86,1.0639761927068356e-07
37.86,1.0639761927068356e-07
37.9,5.837645811222802e-08
37.9,5.837645811222802e-08
37.9,9.234829889139649e-08
37.9,9.234829889139649e-08
37.94,1.3088302663654834e-07
37.94,1.3088302663654834e-07
37.94,1.3088302663654834e-07
37.96,1.5694851693064307e-07
37.96,1.5694851693064307e-07
37.96,2.8173709568432097e-07
37.96,2.8173709568432097e-07
38.0,3.233589496018917e-07
38.0,2.995353605411903e-07
38.0,2.995353605411903e-07
38.04,3.1897718126519543e-07
38.04,3.1897718126519543e-07
38.04,3.0412811438615544e-07
38.04,3.0412811438615544e-07
38.08,3.6800912427574525e-07
38.08,3.6800912427574525e-07
38.08,4.2420026474855934e-07
38.08,4.2420026474855934e-07
38.119999999,3.558354476476776e-07
38.119999999,3.558354476476776e-07
38.119999999,4.0614317101734874e-07
38.14,4.0614317101734874e-07
38.14,4.0614317101734874e-07
38.14,3.5615123789800534e-07
38.14,3.5615123789800534e-07
38.18,1.5294413369589935e-07
38.18,1.5294413369589935e-07
38.18,1.1354481563511321e-07
38.18,1.1354481563511321e-07
38.18,1.1354481563511321e-07
38.22,1.084065712014384e-07
38.22,1.084065712014384e-07
38.22,2.194623676035955e-07
38.22,2.194623676035955e-07
38.26,2.0205366120267628e-07
38.26,2.0205366120267628e-07
38.28,3.0335754611498496e-07
38.28,3.0335754611498496e-07
38.28,3.0335754611498496e-07
38.28,3.2340636627718413e-07
38.28,3.2340636627718413e-07
38.32,3.3919271271926284e-07
38.32,3.3919271271926284e-07
38.32,3.3911317415378174e-07
38.32,3.3911317415378174e-07
38.36,2.9614451026936194e-07
38.36,2.9614451026936194e-07
38.36,2.472207687296212e-07
38.36,2.472207687296212e-07
38.4,1.0059836343944788e-07
38.4,1.0059836343944788e-07
38.4,1.0059836343944788e-07
38.4,1.6188047370566067e-07
38.4,1.6188047370566067e-07
38.44,7.872730322293774e-08
38.44,7.872730322293774e-08
38.46,8.156572133256788e-08
38.46,8.156572133256788e-08
38.46,1.1457228317717468e-07
38.46,1.1457228317717468e-07
38.5,1.4606784761296506e-07
38.5,1.1781733467009152e-07
38.54,1.6890603957834293e-07
38.54,2.0418082467228101e-07
38.58,2.996521779165166e-07
38.58,2.260322974693428e-07
