x,Pressure,Flow
0.0,0.0,0.0
0.019999999999999997,0.0,0.0
0.04,0.0,0.0
0.060000000000000005,0.0,0.0
0.08000000000000002,0.0,0.0
0.1,0.0,0.0
0.12000000000000002,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18000000000000002,0.0,0.0
0.2,0.0,0.0
0.22000000000000003,0.0,0.0
0.24000000000000005,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.30000000000000004,0.0,0.0
0.32,0.0,0.0
0.32,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.34,0.0,0.0
0.34,0.0,0.0
0.34,0.0,0.0
0.36000000000000004,0.0,0.0
0.36000000000000004,0.0,0.0
0.36000000000000004,0.0,0.0
0.38,0.0,0.0
0.38,0.0,0.0
0.38,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.4,0.0,0.0
0.4,0.0,0.0
0.42000000000000004,0.0,0.0
0.42000000000000004,0.0,0.0
0.42000000000000004,0.0,0.0
0.42000000000000004,0.0,0.0
0.44,0.0,0.0
0.44,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.46,0.0,0.0
0.46,0.0,0.0
0.46,0.0,0.0
0.48000000000000004,0.0,0.0
0.48000000000000004,0.0,0.0
0.48000000000000004,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.52,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.54,0.0,0.0
0.54,0.0,0.0
0.54,0.0,0.0
0.5599999999999999,0.0,0.0
0.5599999999999999,0.0,0.0
0.5599999999999999,0.0,0.0
0.58,0.0,0.0
0.58,0.0,0.0
0.58,0.0,0.0
0.58,0.0,0.0
0.6,0.0,0.0
0.6,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.62,0.0,0.0
0.62,0.0,0.0
0.64,0.0,0.0
0.64,0.0,0.0
0.64,0.0,0.0
0.64,0.0,0.0
0.66,0.0,0.0
0.66,0.0,0.0
0.66,0.0,0.0
0.6799999999999999,0.0,0.0
