x,IMU Vx,IMU Vy
107.179999999,0.0,0.0
107.2,0.0,0.0
107.22,0.0,0.0
107.23999999899999,0.0,0.0
107.23999999899999,0.0,0.0
107.259999999,0.0,0.0
107.28,0.0,0.0
107.28,0.0,0.0
107.299999999,0.0,0.0
107.319999999,0.0,0.0
107.319999999,0.0,0.0
107.34,0.0,0.0
107.36,0.0,0.0
107.36,0.0,0.0
107.37999999899999,0.0,0.0
107.399999999,0.0,0.0
107.399999999,0.0,0.0
107.42,0.0,0.0
107.44,0.0,0.0
107.44,0.0,0.0
107.459999999,0.0,0.0
107.48,0.0,0.0
107.48,0.0,0.0
107.5,0.0,0.0
107.51999999899999,0.0,0.0
107.51999999899999,0.0,0.0
107.539999999,0.0,0.0
107.56,0.0,0.0
107.56,0.0,0.0
107.58,0.0,0.0
107.599999999,0.0,0.0
107.599999999,0.0,0.0
107.62,0.0,0.0
107.64,0.0,0.0
107.64,0.0,0.0
107.659999999,0.0,0.0
107.679999999,0.0,0.0
107.679999999,0.0,0.0
107.7,0.0,0.0
107.7,0.0,0.0
107.72,0.0,0.0
107.73999999899999,0.0,0.0
107.73999999899999,0.0,0.0
107.759999999,0.0,0.0
107.78,0.0,0.0
107.78,0.0,0.0
107.799999999,0.0,0.0
107.819999999,0.0,0.0
107.819999999,0.0,0.0
107.84,0.0,0.0
107.86,0.0,0.0
107.86,0.0,0.0
107.87999999899999,0.0,0.0
107.899999999,0.0,0.0
107.92,0.0,0.0
107.92,0.0,0.0
107.94,0.0,0.0
107.959999999,0.0,0.0
107.959999999,0.0,0.0
107.98,0.0,0.0
108.0,0.0,0.0
108.0,0.0,0.0
108.01999999899999,0.0,0.0
108.039999999,0.0,0.0
108.039999999,0.0,0.0
108.06,0.0,0.0
108.08,0.0,0.0
108.08,0.0,0.0
108.09999999899999,0.0,0.0
108.12,0.0,0.0
108.12,0.0,0.0
108.14,0.0,0.0
108.159999999,0.0,0.0
108.159999999,0.0,0.0
108.179999999,0.0,0.0
108.2,0.0,0.0
108.2,0.0,0.0
108.22,0.0,0.0
108.23999999899999,0.0,0.0
108.23999999899999,0.0,0.0
108.259999999,0.0,0.0
108.28,0.0,0.0
108.28,0.0,0.0
108.299999999,0.0,0.0
108.319999999,0.0,0.0
108.319999999,0.0,0.0
