x,Pressure,Flow
0.0,1.5058671236038208,29.12779998779297
0.019999999999999997,1.5058671236038208,29.12779998779297
0.04,1.5034258365631104,30.31899642944336
0.060000000000000005,1.478644609451294,29.76284408569336
0.08000000000000002,1.478644609451294,29.76284408569336
0.1,1.515621542930603,30.28159523010254
0.12000000000000002,1.5086287260055542,29.513696670532227
0.14,1.4906563758850098,29.959714889526367
0.16,1.4906563758850098,29.959714889526367
0.18000000000000002,1.4782114028930664,29.19009780883789
0.2,1.462136149406433,30.599681854248047
0.22000000000000003,1.4984252452850342,29.61927032470703
0.24000000000000005,1.4984252452850342,29.61927032470703
0.26,1.485714316368103,29.936832427978516
0.28,1.485714316368103,29.936832427978516
0.30000000000000004,1.5279327630996704,30.682552337646484
0.30000000000000004,1.5279327630996704,30.682552337646484
0.30000000000000004,1.5086822509765625,29.711353302001953
0.30000000000000004,1.5086822509765625,29.711353302001953
0.30000000000000004,1.5167218446731567,29.16503143310547
0.30000000000000004,1.5108859539031982,29.256267547607422
0.30000000000000004,1.5108859539031982,29.256267547607422
0.32,1.494012713432312,30.32879638671875
0.32,1.4725772142410278,30.406047821044922
0.32,1.4725772142410278,30.406047821044922
0.32,1.5057792663574219,29.67447853088379
0.34,1.4926632642745972,30.45807456970215
0.34,1.4926632642745972,30.45807456970215
0.34,1.5197967290878296,30.345407485961914
0.34,1.4840197563171387,30.87816619873047
0.36000000000000004,1.4840197563171387,30.87816619873047
0.36000000000000004,1.4866681098937988,29.747344970703125
0.36000000000000004,1.4866681098937988,29.747344970703125
0.36000000000000004,1.5172163248062134,28.62873649597168
0.38,1.5172163248062134,28.62873649597168
0.38,1.4900568723678589,29.72938346862793
0.38,1.4900568723678589,29.72938346862793
0.38,1.4895856380462646,30.866689682006836
0.4,1.4895856380462646,30.866689682006836
0.4,1.5220181941986084,30.09007453918457
0.4,1.5220181941986084,30.09007453918457
0.42000000000000004,1.48613703250885,29.339107513427734
0.42000000000000004,1.482338786125183,29.540878295898438
0.42000000000000004,1.5307015180587769,29.770193099975586
0.42000000000000004,1.506088376045227,30.00160789489746
0.44,1.506088376045227,30.00160789489746
0.44,1.5234174728393555,30.9334716796875
0.44,1.4715496301651,29.887813568115234
0.44,1.4715496301651,29.887813568115234
0.46,1.4867445230484009,30.355445861816406
0.46,1.4867445230484009,30.355445861816406
0.46,1.50447678565979,30.041887283325195
0.46,1.50447678565979,30.041887283325195
0.48000000000000004,1.4876898527145386,30.07053565979004
0.48000000000000004,1.505989670753479,29.593368530273438
0.48000000000000004,1.504845380783081,29.431638717651367
0.5,1.5298212766647339,29.61606216430664
0.5,1.5298212766647339,29.61606216430664
0.5,1.5266385078430176,29.69823455810547
0.5,1.5266385078430176,29.69823455810547
0.52,1.4970338344573975,30.512577056884766
0.52,1.4970338344573975,30.512577056884766
0.52,1.480445384979248,30.18951416015625
0.52,1.5038158893585205,29.74518394470215
0.54,1.5038158893585205,29.74518394470215
0.54,1.5471458435058594,30.44672393798828
0.54,1.471107840538025,30.735706329345703
0.54,1.5146420001983643,30.321653366088867
0.5599999999999999,1.5146420001983643,30.321653366088867
0.5599999999999999,1.48928964138031,29.016803741455078
0.5599999999999999,1.4806151390075684,29.80824851989746
0.5599999999999999,1.4806151390075684,29.80824851989746
0.58,1.4886322021484375,29.715473175048828
0.58,1.4886322021484375,29.715473175048828
0.58,1.5055221319198608,30.11920166015625
0.58,1.5055221319198608,30.11920166015625
0.6,1.5078790187835693,30.176515579223633
0.6,1.4848358631134033,30.524921417236328
0.6,1.5272873640060425,29.505659103393555
0.6,1.508955955505371,29.35454559326172
0.62,1.508955955505371,29.35454559326172
0.62,1.5087858438491821,30.548194885253906
0.62,1.5087858438491821,30.548194885253906
0.62,1.5024707317352295,29.79334831237793
0.64,1.5024707317352295,29.79334831237793
0.64,1.4916234016418457,30.067564010620117
0.64,1.4916234016418457,30.067564010620117
0.64,1.4978681802749634,29.830595016479492
0.66,1.4978681802749634,29.830595016479492
0.66,1.4953504800796509,29.983205795288086
0.66,1.4953504800796509,29.983205795288086
0.6799999999999999,1.4817969799041748,29.60869789123535
0.6799999999999999,1.4817969799041748,29.60869789123535
0.6799999999999999,1.507737636566162,30.165708541870117
0.6799999999999999,1.507737636566162,30.165708541870117
0.7,1.4790376424789429,28.850399017333984
0.7,1.4790376424789429,28.850399017333984
0.7,1.5167958736419678,30.246097564697266
0.7,1.5167958736419678,30.246097564697266
0.72,1.4729188680648804,29.113971710205078
0.72,1.4729188680648804,29.113971710205078
0.72,1.5030468702316284,29.276905059814453
0.72,1.5030468702316284,29.276905059814453
0.74,1.4907917976379395,30.61717414855957
0.74,1.4907917976379395,30.61717414855957
0.74,1.5408028364181519,29.52610969543457
0.74,1.5259941816329956,30.504077911376953
0.76,1.5259941816329956,30.504077911376953
