x,IMU Yaw
142.419999999,0.0
142.419999999,0.0
142.44,0.0
142.46,0.0
142.46,0.0
142.479999999,0.0
142.479999999,0.0
142.5,0.0
142.52,0.0
142.52,0.0
142.539999999,0.0
142.56,0.0
142.56,0.0
142.579999999,0.0
142.599999999,0.0
142.62,0.0
142.62,0.0
142.639999999,0.0
142.659999999,0.0
142.659999999,0.0
142.68,0.0
142.699999999,0.0
142.699999999,0.0
142.72,0.0
142.74,0.0
142.74,0.0
142.759999999,0.0
142.78,0.0
142.78,0.0
142.8,0.0
142.819999999,0.0
142.819999999,0.0
142.84,0.0
142.859999999,0.0
142.859999999,0.0
142.879999999,0.0
142.9,0.0
142.9,0.0
142.919999999,0.0
142.94,0.0
142.94,0.0
142.96,0.0
142.979999999,0.0
142.979999999,0.0
143.0,0.0
143.02,0.0
143.02,0.0
143.039999999,0.0
143.06,0.0
143.06,0.0
143.079999999,0.0
143.079999999,0.0
143.099999999,0.0
143.12,0.0
143.12,0.0
143.139999999,0.0
143.159999999,0.0
143.159999999,0.0
143.18,0.0
143.199999999,0.0
143.199999999,0.0
143.22,0.0
143.24,0.0
143.24,0.0
143.259999999,0.0
143.259999999,0.0
143.28,0.0
143.3,0.0
143.3,0.0
143.319999999,0.0
143.34,0.0
143.34,0.0
143.359999999,0.0
143.379999999,0.0
143.379999999,0.0
143.4,0.0
143.419999999,0.0
143.419999999,0.0
143.44,0.0
143.44,0.0
143.46,0.0
143.479999999,0.0
143.479999999,0.0
143.5,0.0
143.52,0.0
143.52,0.0
143.539999999,0.0
143.56,0.0
143.56,0.0
143.579999999,0.0
143.599999999,0.0
143.599999999,0.0
143.62,0.0
143.62,0.0
143.639999999,0.0
143.659999999,0.0
143.659999999,0.0
143.68,0.0
143.699999999,0.0
143.699999999,0.0
143.72,0.0
143.74,0.0
143.74,0.0
143.759999999,0.0
143.78,0.0
143.78,0.0
143.8,0.0
143.8,0.0
143.819999999,0.0
143.84,0.0
143.84,0.0
143.859999999,0.0
143.879999999,0.0
143.879999999,0.0
143.9,0.0
143.919999999,0.0
143.919999999,0.0
143.94,0.0
143.96,0.0
143.96,0.0
143.979999999,0.0
143.979999999,0.0
144.0,0.0
144.02,0.0
144.02,0.0
144.039999999,0.0
144.06,0.0
144.06,0.0
144.079999999,0.0
144.099999999,0.0
144.099999999,0.0
144.12,0.0
144.139999999,0.0
144.139999999,0.0
144.159999999,0.0
144.159999999,0.0
144.18,0.0
144.199999999,0.0
144.199999999,0.0
144.22,0.0
144.24,0.0
144.24,0.0
144.259999999,0.0
144.28,0.0
144.28,0.0
144.3,0.0
144.3,0.0
144.319999999,0.0
144.34,0.0
144.34,0.0
144.359999999,0.0
144.379999999,0.0
144.379999999,0.0
144.4,0.0
144.419999999,0.0
144.419999999,0.0
144.44,0.0
144.44,0.0
144.46,0.0
144.479999999,0.0
144.479999999,0.0
144.5,0.0
144.52,0.0
144.52,0.0
144.539999999,0.0
144.56,0.0
144.56,0.0
144.579999999,0.0
144.599999999,0.0
144.599999999,0.0
144.62,0.0
144.639999999,0.0
144.639999999,0.0
144.659999999,0.0
144.68,0.0
144.68,0.0
144.699999999,0.0
144.72,0.0
144.72,0.0
144.74,0.0
144.759999999,0.0
144.759999999,0.0
144.78,0.0
144.8,0.0
144.8,0.0
144.819999999,0.0
144.84,0.0
144.84,0.0
144.859999999,0.0
144.879999999,0.0
144.879999999,0.0
144.9,0.0
144.919999999,0.0
144.919999999,0.0
144.94,0.0
144.96,0.0
144.96,0.0
144.979999999,0.0
145.0,0.0
145.0,0.0
145.02,0.0
145.039999999,0.0
145.039999999,0.0
145.06,0.0
145.06,0.0
145.079999999,0.0
145.099999999,0.0
145.099999999,0.0
145.12,0.0
145.139999999,0.0
145.139999999,0.0
145.159999999,0.0
145.18,0.0
145.18,0.0
145.199999999,0.0
145.22,0.0
145.22,0.0
145.24,0.0
145.24,0.0
145.259999999,0.0
145.28,0.0
145.28,0.0
145.3,0.0
145.319999999,0.0
145.319999999,0.0
145.34,0.0
145.359999999,0.0
145.359999999,0.0
145.379999999,0.0
145.379999999,0.0
145.4,0.0
145.419999999,0.0
145.419999999,0.0
145.44,0.0
145.46,0.0
145.46,0.0
145.479999999,0.0
145.5,0.0
145.5,0.0
145.52,0.0
145.539999999,0.0
145.539999999,0.0
145.56,0.0
145.56,0.0
145.579999999,0.0
145.599999999,0.0
145.599999999,0.0
145.62,0.0
145.639999999,0.0
145.639999999,0.0
145.659999999,0.0
145.68,0.0
145.68,0.0
145.699999999,0.0
145.72,0.0
145.72,0.0
145.74,0.0
145.759999999,0.0
145.759999999,0.0
145.78,0.0
145.8,0.0
145.8,0.0
145.819999999,0.0
145.819999999,0.0
145.84,0.0
145.859999999,0.0
145.859999999,0.0
145.879999999,0.0
145.9,0.0
145.9,0.0
145.919999999,0.0
145.919999999,0.0
145.94,0.0
