x,Y
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
-28.245622612913714,-26.235716637256537
