x,In,Out,Radiator
0.0,24.70943832397461,24.984580993652344,25.053916931152344
0.019999999999999997,25.485965728759766,24.827213287353516,24.949249267578125
0.04,25.485965728759766,24.827213287353516,24.949249267578125
0.060000000000000005,25.17112159729004,25.671598434448242,25.075592041015625
0.08000000000000002,25.17112159729004,25.671598434448242,25.075592041015625
0.1,24.717361450195312,24.81624984741211,24.622467041015625
0.12000000000000002,24.717361450195312,24.81624984741211,24.622467041015625
0.14,25.5524959564209,25.425626754760742,24.417728424072266
0.16,24.965330123901367,24.91040802001953,25.71046257019043
0.18000000000000002,24.965330123901367,24.91040802001953,25.71046257019043
0.2,24.9393253326416,24.987211227416992,24.81783676147461
0.22000000000000003,24.6934814453125,24.7072696685791,25.861248016357422
0.24000000000000005,24.6934814453125,24.7072696685791,25.861248016357422
0.26,24.916637420654297,24.63296127319336,25.3226375579834
0.28,25.455699920654297,24.74416160583496,25.14130973815918
0.30000000000000004,25.455699920654297,24.74416160583496,25.14130973815918
0.30000000000000004,25.119243621826172,25.10444450378418,24.835573196411133
0.30000000000000004,25.119243621826172,25.10444450378418,24.835573196411133
0.30000000000000004,24.914525985717773,25.488643646240234,25.060379028320312
0.30000000000000004,25.121427536010742,24.976181030273438,24.863269805908203
0.30000000000000004,25.121427536010742,24.976181030273438,24.863269805908203
0.30000000000000004,24.954925537109375,24.302154541015625,25.47614097595215
0.32,24.88053321838379,24.525739669799805,24.893001556396484
0.32,24.88053321838379,24.525739669799805,24.893001556396484
0.32,24.916175842285156,25.20671844482422,24.954917907714844
0.32,25.19643783569336,24.597715377807617,24.934980392456055
0.34,25.208467483520508,24.922855377197266,24.760379791259766
0.34,25.208467483520508,24.922855377197266,24.760379791259766
0.34,25.09005355834961,24.73138427734375,24.446578979492188
0.36000000000000004,25.36922836303711,25.528579711914062,25.355993270874023
0.36000000000000004,25.36922836303711,25.528579711914062,25.355993270874023
0.36000000000000004,24.90799903869629,24.822093963623047,24.896337509155273
0.36000000000000004,24.90799903869629,24.822093963623047,24.896337509155273
0.38,24.335472106933594,24.97353172302246,24.311864852905273
0.38,25.489601135253906,25.14061164855957,24.939180374145508
0.38,25.489601135253906,25.14061164855957,24.939180374145508
0.4,24.971120834350586,24.838977813720703,25.46840476989746
0.4,24.971120834350586,24.838977813720703,25.46840476989746
0.4,25.606952667236328,25.166833877563477,25.018369674682617
0.4,25.606952667236328,25.166833877563477,25.018369674682617
0.42000000000000004,24.92132568359375,24.8284912109375,24.793079376220703
0.42000000000000004,25.16154670715332,25.114112854003906,25.238895416259766
0.42000000000000004,25.16154670715332,25.114112854003906,25.238895416259766
0.42000000000000004,24.62355613708496,25.13105010986328,24.992082595825195
0.44,24.8138427734375,25.095609664916992,24.79119300842285
0.44,24.8138427734375,25.095609664916992,24.79119300842285
0.44,25.166757583618164,24.898815155029297,25.006240844726562
0.44,24.816688537597656,24.679336547851562,24.755035400390625
0.46,24.816688537597656,24.679336547851562,24.755035400390625
0.46,24.342857360839844,25.33474349975586,24.823789596557617
0.46,24.774093627929688,25.051847457885742,24.530675888061523
0.48000000000000004,25.016149520874023,24.529699325561523,25.05264663696289
0.48000000000000004,25.016149520874023,24.529699325561523,25.05264663696289
0.48000000000000004,25.293434143066406,25.48740005493164,24.921749114990234
0.48000000000000004,24.865808486938477,24.97109603881836,25.44914436340332
0.5,24.865808486938477,24.97109603881836,25.44914436340332
0.5,25.25704002380371,24.628862380981445,25.10373306274414
0.5,25.25704002380371,24.628862380981445,25.10373306274414
0.52,25.017244338989258,25.321165084838867,24.960229873657227
0.52,25.31475257873535,25.519887924194336,25.371936798095703
0.52,24.843984603881836,25.27769660949707,24.835458755493164
0.52,24.843984603881836,25.27769660949707,24.835458755493164
0.54,25.339250564575195,24.79225730895996,25.005077362060547
0.54,25.339250564575195,24.79225730895996,25.005077362060547
0.54,25.009639739990234,24.80017852783203,25.435213088989258
0.5599999999999999,25.009639739990234,24.80017852783203,25.435213088989258
0.5599999999999999,25.204177856445312,24.91191864013672,24.58285140991211
0.5599999999999999,24.9940185546875,25.222095489501953,24.59752655029297
